name,types,prerequisites,description,benefit,normal,special,goal,completion_benefit,prerequisite_feats,prerequisite_skills,prerequisite_race,suggested_traits,source

Subtle Enchantments,general,"Deceitful, Spell Focus (enchantment).",Your enchantments influence targets in more subtle ways and are harder to notice.,"When you cast an enchantment spell or use an enchantment spell-like ability to influence a creature's attitude or actions and the foe negates the spell with a  successful Will save, she has a 50% chance not to notice that she just succeeded at a saving throw (she still can attempt to identify your spell or spell-like ability as normal). If the foe fails the saving throw or is otherwise affected by the spell, the Sense Motive DC to notice she is under the effects of an enchantment increases by 5.",Anyone who successfully saves against a spell notices the mental intrusion automatically.,,,,"Deceitful, Spell Focus",,,,Ultimate Intrigue

Superior Scryer,general,"Spell Focus (divination), the ability to cast at least one spell of the scrying subschool.",You are adept at seeing more when scrying.,"When casting a scrying spell, you see through the spell's sensor with darkvision 60 feet, whether or not you possess darkvision normally and whether or not the spell normally allows you to see with darkvision. If the spell sends back sensory information only within 10 feet of the sensor (such as with scrying and greater scrying), this feat doesn't increase that range. You receive a +2 bonus on Perception checks to notice things through a scrying sensor, and your prying eyes and insect spies also receive a +2 bonus on Perception checks.  When you use the scrying or greater scrying spell, you have a 10% increase to the chance of using spells through the sensor.",,,,,Spell Focus,,,,Ultimate Intrigue

Swipe And Stash,combat,Sleight of Hand 5 ranks.,Your fast fingers allow you to deftly deposit an item on someone else.,"As a standard action, you can attempt a DC 20 Sleight of Hand check to plant a small object on a creature. The target is entitled to a Perception check opposed by your Sleight of Hand check to notice you planting the item. This does not force the creature to wear, wield, or otherwise use the item; you simply plant it on the creature's person. The DC increases to 30 if the target is not wearing clothing, armor, tack and harness (if an animal or similar creature), or some other equivalent accoutrements in which you can hide the item.  In combat, you must succeed at a steal combat maneuver in order to plant an item on a creature while attempting a Sleight of Hand check opposed by the target's Perception check to do so without the target noticing. You are automatically unnoticed if you succeed and have the Greater Steal feat.  If you steal an object with a successful Sleight of Hand check or steal combat maneuver check, you can use this feat as a swift action to plant it on another creature within reach before the end of your turn.",,"If you have Walking Sleight, you can take either or both of your actions with Swipe and Stash at any point during your movement in the same round, moving both before and after both snatching and planting the object if you wish to do so and have enough movement.",,,,Sleight of Hand 5,,,Ultimate Intrigue

Telepathy Tap,general,"Sense Motive 10 ranks, ability to cast detect thoughts or telepathy as a spell or spell-like ability or telepathy supernatural ability.","You are able to notice, intercept, and interpret telepathic communication around you.","When a creature within range of your telepathy (or within 60 feet if you are using detect thoughts) uses telepathy to communicate, including when that creature sends or receives a magical message such as dream or sending, you can notice the attempt with a successful DC 30 Sense Motive check. At this point, you can either use your telepathy ability or spend a use or casting of detect thoughts as an immediate action. If you do so, for every 5 points by which your check exceeds the DC, you glean one fragment of information about the communication, such as the identity of its source; its general nature; the emotional state of the sender or the recipient; or a specific person, place, or thing mentioned in the message. In addition, the creature must attempt a saving throw (with a DC equal to that of the spell if you spent a use of detect thoughts or are using telepathy, or 10 + 1/2 your racial HD + your Charisma modifier if you are using a racial telepathy ability). If the target fails its save, you can listen to both sides of the telepathic or magical communication as long as you continue to concentrate each round as a standard action.",,,,,,Sense Motive 10,,,Ultimate Intrigue

Tenacious Spell,metamagic,,Your magic is difficult to unravel.,"Increase the DC of caster level checks to counter or dispel a tenacious spell by 2. If a tenacious spell is dispelled or dismissed, it lasts for 1d4 further rounds (to a maximum of the spell's normal duration) before ending (this does not occur if antimagic field or a similar spell or effect suppresses or ends the spell's effect without dispelling or dismissing it). The lingering auras of tenacious spells detectable with detect magic last for twice as long as usual after the spells end. A tenacious spell uses up a spell slot 1 level higher than the spell's actual level.",,,,,,,,,Ultimate Intrigue

Threatening Negotiator,general,"Nerve-Racking Negotiator, Persuasive, Skill Focus (Intimidate).",Those who you intimidate know that you'll go through with your threats.,"When you successfully use the Intimidate skill to force an opponent to act friendly toward you, the duration of the attitude change lasts 2d6 hours.",Changing an opponent's attitude with Intimidate normally changes the foe's attitude to friendly for 1d6x10 minutes.,,,,"Nerve-Racking Negotiator, Persuasive, Skill Focus",,,,Ultimate Intrigue

Timely Coordination,teamwork/general,,You can precisely time your teamwork.,"You gain a +1 bonus on attack rolls and skill checks made as part of readied actions triggered by one of your allies who also has this feat. When you and an ally who also has this feat are attempting to overcome separate simultaneous obstacles as part of a heist or infiltration (see page 127), you also gain this +1 bonus on attack rolls and skill checks.",,,,,,,,,Ultimate Intrigue

True Deception,general,"Cha 17, Disguise 17 ranks, master disguise master ninja trick or master of disguise advanced rogue talent, ninja level 10th or rogue level 10th.",Time spent learning the mystic arts of disguise has given you insight into the anonymity of the everyday.,"When using the master disguise master ninja trick or master of disguise advanced rogue talent to take on the appearance of a specific individual, you can fool divination magic and effects designed to locate the subject of your disguise as per the vigilante's any guise social talent. In addition, you gain a +10 bonus on Bluff checks to act like that individual.",,,,,,Disguise 17,,,Ultimate Intrigue

Unimpeachable Honor,general,Iron Will.,Your devotion to your principles and your allies makes acting against them unthinkable.,"Whenever you are under the effects of a charm or compulsion effect and would be compelled to take an action that violates your fundamental nature, explicitly violates the strictures of your religion, or would be an act of an alignment that directly opposes your own (for instance, a chaotic or evil act if you are lawful good), you gain a +4 bonus on any saving throw or opposed Charisma check to resist that command or break free from the effect. Whenever you are compelled to attack an ally, you take a -4 penalty on your attack rolls and damage rolls.",,,,,Iron Will,,,,Ultimate Intrigue

Walking Sleight,general,"Deft Hands, Sleight of Hand 5 ranks.",You've developed your skills at picking up items while on the move.,You no longer take the -20 penalty for attempting a Sleight of Hand check as a move action. You can attempt a Sleight of Hand check as a standard action in the middle of your move action.,You can attempt a Sleight of Hand check as a move action only by taking a -20 penalty on the check.,,,,Deft Hands,Sleight of Hand 5,,,Ultimate Intrigue

Willing Accomplice,general,"Cha 13, Bluff 3 ranks, Sense Motive 1 rank.",Your well-placed support can aid friends and allies in maintaining their most precious secrets.,"As a standard action, you can attempt a Bluff check to aid another's Disguise check. In addition, when attempting such a check to aid a vigilante ally in maintaining that ally's social identity (see page 9), a successful check grants that ally a +5 bonus instead of the normal +2.",,,,,,"Bluff 3, Sense Motive 1",,,Ultimate Intrigue

Groom,general,Character level 4th.,You recruit a professional groom to care for your mount.,"This feat is similar to the Leadership feat, with several exceptions to note. You can attract only  a 1st-level cohort (referred to hereafter as a groom) with this feat, and cannot recruit followers of his own. You determine your Leadership score according to the rules presented in the Leadership feat (Pathfinder RPG Core Rulebook 129), but your groom is always at least 3 levels lower than your level.  A groom can take levels in bard, fighter, or ranger. A groom can't multiclass, though he can take any archetype for which he qualifies.  A groom finds the best place to stable and conceal your mount and the mounts of up to five allies while you and your allies are elsewhere. A groom adds half his level (minimum 1) to Stealth checks when concealing himself and any mounts that are left in his care. A groom also gains the ability to speak with animals as a supernatural ability, but he can use this ability only with horses, riding dogs, and other mounts of the animal type.  If a groom gains enough XP to bring him to 2 levels lower than your level, he doesn't gain the new level until you gain your next level; until you advance, his XP total remains 1 less than the amount needed to attain the next level.  If you release your groom from service or otherwise lose your groom, you can recruit a new one. At 7th level, you can swap this feat for the Leadership feat.",,,,,,,,,Ultimate Intrigue

Light Bearer,general,Character level 4th.,You recruit a torchbearer who joins you on your adventures to help illuminate even the darkest dungeons.,"This feat is similar to the Leadership feat, with several exceptions. You can attract only a 1st-level cohort (referred to hereafter as a light bearer) with this feat, and can't recruit followers. You determine your Leadership score according to the rules presented in the Leadership feat, but your light bearer is always at least 3 levels lower than your level.  A light bearer can take levels in alchemist, fighter, or rogue. The light bearer cannot multiclass, though he can take any archetype for which he qualifies.  The radius of normal and increased illumination shed by whatever alchemical or mundane light source the light bearer carries increases by 10 feet. He also gains a +4 bonus on all saving throws made against an effect that would extinguish any nonmagical (including alchemical) light source he carries.  If a light bearer gains enough XP to bring him to 2 levels lower than your level, he doesn't gain the new level until you gain your next level; until you advance, his XP total remains 1 less than the amount needed to attain the next level.  If you release your light bearer from service or otherwise lose your light bearer, you can recruit a new one. At 7th level, you can swap this feat for the Leadership feat.",,,,,,,,,Ultimate Intrigue

Page,general,"Character level 4th, proficiency with martial weapons.",You recruit a page who heralds your approach and has the ability to smooth the path of your diplomatic missions.,"This feat is similar to the Leadership feat, with several exceptions. You can attract only a 1st-level cohort (referred to hereafter as a page) with this feat, and can't recruit followers. You determine your Leadership score according to the rules presented in the Leadership feat, but your page is always at least 3 levels lower than your level.  A page can take levels in bard, cavalier, or paladin. She cannot multiclass, though she can take any archetype for which she qualifies.  Whenever a page tries to influence a creature's attitude by using the Diplomacy skill, she can use her total Diplomacy skill bonus or yours. Any improvement of a creature's attitude toward the page also applies to you.  If a page gains enough XP to bring her to 2 levels lower than your level, she doesn't gain the new level until you gain your next level; until then, her XP total remains 1 less than the amount needed to attain the next level and she gains no additional XP until you advance in level.  If you release your page from service or otherwise lose your page, you can recruit a new one. At 7th level, you can swap this feat for the Leadership feat.",,,,,,,,,Ultimate Intrigue

Recruits,general,"Cha 13, character level 5th.","Be they students, retainers, new recruits to your order, or neophyte members of your faith, you have access to a small set of dedicated servants.","You gain a number of cohorts (as per the Leadership feat) that represent NPCs you are responsible for instructing and overseeing. You have a number of such cohorts equal to half your character  level. Unlike normal cohorts, these recruits must be at least 4 levels lower than your level. Since these recruits must spend most of their time studying and gaining experience, only one recruit can travel with you at a time (though they all gain experience at the same rate, as those not present are assumed to be studying and growing independently). Whenever you are in a major town or city, you can exchange the recruit currently accompanying you for a different member of your recruits.  As recruits are busy learning and studying the basics of their careers, those not traveling with you can't engage in mundane or magical crafting or Profession checks. Recruits not traveling with you can, however, serve as managers for your holdings if you are using the downtime rules (Ultimate Campaign 88). If a recruit dies, you take only a -1 penalty to your Leadership score.",,"The Recruits feat counts as the Leadership feat for purposes of fulfilling prerequisites. A character cannot have both Leadership and Recruits. A character with Recruits who later qualifies for Leadership can exchange this feat for Leadership immediately upon qualifying (selecting one minor cohort to become a full cohort, while the rest move on).",,,,,,,Ultimate Intrigue

Vile Leadership,general,"Any evil alignment, character level 7th.",You rule over your own cabal of minions with a villainous cohort as your lieutenant.,"You can attract a loyal cohort and a number of intimidated followers to assist in your nefarious deeds. This feat is similar to Leadership, except Vile Leadership rewards-rather than punishes-leaders with cruel reputations or who cause their followers' deaths. Once you take this feat, you cannot take the Leadership feat without retraining your feat selection (Ultimate Campaign 191).  Numerous factors can affect your Vile Leadership score (which acts as a Leadership score for the purpose of feats and abilities that rely on a Leadership score, other than Leadership itself ); work in conjunction with your GM and use the tables below to adjust your Vile Leadership score accordingly. The NPCs you attract must be of a nongood alignment.  Vile Leadership Modifiers: Your reputation (from the point of view of the cohort or follower you are trying to attract) raises or lowers your Vile Leadership score.  Leader's Reputation Modifier  Ruthless +2  Rewards loyalty or success +1  Possesses a special power +1  Indecisive -1  Tolerant of failure -1  Merciful -2  Other modifiers may apply when you try to attract a cohort with this feat, as listed below.  Leader's Attributes Modifier  Gained power by eliminating a superior +1  Fails to punish or kill minions who make -2*  costly mistakes  Recruits a cohort of a different alignment -1  * Cumulative per incident of compassion shown. This penalty is incurred even if you show mercy to avoid killing or punishing more than 20% of your minions during a given character level (see the footnote in the following table).  Followers have different priorities from cohorts. When you try to attract a follower, use the following modifiers.  Leader's Attributes Modifier  Has a stronghold, base of operations, guildhouse, etc. +2  Has punished or killed minions to set an example +1*  or assert dominance  Has a tendency toward long periods of inactivity -1  Restricts minions from looting, pillaging, or pursing -1  other spoils of war  * Cumulative to a maximum bonus of +1 per character level. If you punish or kill more than 20% of your minions during a given character level, this bonus becomes a penalty instead. When you gain a new level, any bonus or penalty from punishing or killing minions resets to 0.",,,,,,,,,Ultimate Intrigue

Weapon Bearer,general,"Character level 4th, proficient with all martial weapons.",You attract a weapon bearer to aid you in your endeavors.,"This feat is similar to the Leadership feat, with several exceptions. You can attract only a 1st-level cohort (referred to hereafter as a weapon bearer) with this feat, and can't recruit followers. You determine your Leadership score according to the rules presented in the Leadership feat, but your weapon bearer is always at least 3 levels lower than yourself.  A weapon bearer can take levels in only cavalier, fighter, or gunslinger. She cannot multiclass, though she can take any archetype for which she qualifies.  Once per round as a move action that does not provoke attacks of opportunity, you can retrieve an item carried by your weapon bearer. In addition, your weapon bearer can pick up items you drop as an immediate action. In order to use either of these abilities, you and your weapon bearer must be adjacent to each other and must both be able to move and communicate with each other.  If a weapon bearer gains enough XP to bring her to 2 levels lower than your level, she doesn't gain the new level until you gain your next level; until you advance, her XP total remains 1 less than the amount needed to attain the next level.  If you release your weapon bearer from service or otherwise lose your weapon bearer, you can recruit a new one. At 7th level, you can swap this feat for the Leadership feat.",,,,,,,,,Ultimate Intrigue

Thrune Trusted Agent,teamwork/general,Thrune Loyal Agent trait.,Your supernatural bond to other Thrune agents strengthens your resolve and allows you to bolster your allies.,"Whenever you are within 30 feet of an ally who also has this feat, you gain a +1 profane bonus on Reflex and Will saving throws. In addition, once per day as a swift action, you can forfeit the saving throw bonuses granted by this feat to increase the effectiveness of the aid another action. For a number of rounds equal to your Charisma modifier (minimum 1), when you use the aid another action to aid an ally who also has this feat, the bonus you grant to an ally's AC, attack roll, or skill check is increased to +4 instead of the usual +2. You don't benefit from the feat's saving throw bonuses for 24 hours, though you still qualify as having this feat for the purpose of other characters gaining the bonuses.",,,,,,,,,AP 105

Summon Evil Monster,general,Any evil alignment.,"Archbaron Fex can summon the aid of creatures driven by their very nature to destroy goodness. This feat originally appeared in Pathfinder Player Companion: Champions of Corruption. See Fex's Tactics on page 56 for the monsters the archbaron typically summons in combat. For the full list of monsters that can be summoned with this feat, refer to Champions of Corruption.","When casting summon monster, you also have access to a list of additional evil monsters. When you're summoning a creature from this list, your debased nature allows you to cast the spell as a standard action. The summoned creature appears as normal for the spell, but can't act until your next turn. It is not flat-footed, however, and it can make attacks of opportunity as normal. These effects don't apply to creatures from the standard list that aren't also on this list.",,,,,,,,,AP 105

Planar Sensitivity,general,Knowledge (planes) 3 ranks.,You can sense and manipulate connections between the planes.,You gain access to the gatefinder and gatekeeper skill unlocks (see below).,,Sentient outsiders who have one or more ranks in Knowledge (planes) and who lack the native subtype are treated as having this feat.,,,,Knowledge (planes) 3,,,AP 105

Armor Trick,combat,Base attack bonus +1.,"Choose one armor trick option (light, medium, heavy, or shield). You can perform armor tricks in combat when wearing the appropriate armor option.",You can use any armor tricks related to the chosen armor option if you meet the trick's prerequisites and are proficient with any armor that you use as part of the trick.,,"You can gain Armor Trick multiple times. Each time you take the feat, it applies to a new armor trick option.",,,,,,,Armor Masters Handbook

Bulette Charge Style,style/combat,"Str 13, Improved Overrun, Power Attack, proficiency with heavy armor.",You use the weight of your armor to enhance the momentum of your charge.,"While using this style, you gain a +4 bonus on combat maneuver checks to overrun an opponent. Any magic ability or material that reduces your armor check penalty also reduces the bonus you gain for this style.",,"A character with the armor training class feature can use Bulette Charge Style while wearing any type of armor with which she is proficient. Medium armor grants a +3 bonus, and light armor grants a +2 bonus.",,,"Improved Overrun, Power Attack",,,,Armor Masters Handbook

Bulette Leap,combat,"Str 15, Bulette Charge Style, Improved Overrun, Power Attack, proficiency with heavy armor.",You can shove aside multiple opponents while leaping into the air.,"While using Bulette Charge Style, you gain a bonus on Acrobatics checks to jump equal to your Strength bonus. Additionally, when you perform an overrun combat maneuver, you can attempt to overrun multiple foes, but you take a cumulative -2 penalty on each successive overrun attempt in the same round. If an overrun attempt fails, you cannot make any further attempts until your next round.",,,,,"Bulette Charge Style, Improved Overrun, Power Attack",,,,Armor Masters Handbook

Bulette Rampage,combat,"Str 15, Bulette Charge Style, Bulette Leap, Improved Overrun, Power Attack, proficiency with heavy armor.",You are able to channel your enhanced momentum to deal incredible damage to multiple foes.,"While you're using Bulette Charge Style, whenever you succeed at an overrun combat maneuver check against a foe, that foe takes an amount of damage equal to 1d8 (if you're Medium) or 1d6 (if you're Small) + 1/2 your armor bonus to AC + 1-1/2 times your Strength bonus.",,,,,"Bulette Charge Style, Bulette Leap, Improved Overrun, Power Attack",,,,Armor Masters Handbook

Spring-Heeled Reaping,combat,"Dex 17, Dodge, Mobility, Spring Attack, Spring-Heeled Sprint, Spring-Heeled Style, base attack bonus +11, proficiency with light armor.",Your armor's flexibility and your own training allow you to strike multiple times while moving.,"While using Spring-Heeled Style, whenever you use Spring Attack, you can attack two different creatures at any point in your movement. Each attack is made at your full attack bonus. Any creature that you attack in melee with this feat cannot make attacks of opportunity against you for that movement, as normal for Spring Attack.",,,,,"Dodge, Mobility, Spring Attack, Spring-Heeled Sprint, Spring-Heeled Style",,,,Armor Masters Handbook

Spring-Heeled Sprint,combat,"Dex 15, Dodge, Mobility, Spring Attack, Spring-Heeled Style, base attack bonus +7, proficiency with light armor.",You can move quickly without sacrificing your offense.,"While using Spring-Heeled Style, you can move up to twice your speed when using the Spring Attack feats",,,,,"Dodge, Mobility, Spring Attack, Spring-Heeled Style",,,,Armor Masters Handbook

Spring-Heeled Style,style/combat,"Dex 13, Dodge, Mobility, Spring Attack, base attack bonus +4, proficiency with light armor.","You cunningly dart across the battlefield from foe to foe, taking advantage of your armor's flexibility to duck blows.","If using this style during any round in which you take a move action to move 10 or more feet, you gain a +2 bonus on weapon attack rolls until the start of your next turn. While using this style, you gain the AC bonus from Mobility against attacks of opportunity provoked by making a ranged attack or loading a ranged weapon.",,A character with the armor training class feature can use Spring-Heeled Style while wearing any type of armor with which she is proficient.,,,"Dodge, Mobility, Spring Attack",,,,Armor Masters Handbook

Swift Iron Style,style/combat,"Str 13, Dex 13, proficiency with medium armor.","You have learned to move in ways that better accommodate your armor, and can maneuver easily despite its bulk.","While using this style, you treat the armor check penalty of your armor as if it were 1 less, and the maximum Dexterity bonus to AC as if it were 1 higher.",,A character with the armor training class feature can use Swift Iron Style while wearing any type of armor with which she is proficient. These benefits stack with armor training.,,,,,,,Armor Masters Handbook

Swift Refuge,combat,"Str 13, Dex 13, Swift Iron Style, proficiency with medium armor.","You quickly turn, forcing devastating blows to be blunted by the thickest part of your armor.","Once per day when using Swift Iron Style, when you're hit by a weapon, unarmed attack, or natural weapon, you can treat all dice other than the weapon's base damage dice (including extra dice from sneak attack, critical hit, magic special weapon abilities, and Vital Strike) as having rolled 1s. You can use this ability a second time per day when your base attack bonus reaches +8, and a third time at +16.",,,,,Swift Iron Style,,,,Armor Masters Handbook

Swift Sprint,combat,"Str 13, Dex 13, Swift Iron Style, Swift Refuge, proficiency with medium armor.","You balance your armor expertly, allowing you to run and sprint without impediment.","When you're charging, running, or taking no action in your turn other than movement, your armor does not reduce your movement.",,,,,"Swift Iron Style, Swift Refuge",,,,Armor Masters Handbook

Mobile Bulwark Style,style/combat,"Str 13, Shield Focus, Tower Shield Proficiency, base attack bonus +1.",You are able to swing your tower shield around quickly.,"While using a tower shield, add the shield's bonus to AC (including its enhancement bonus) to your CMD against bull rush and overrun combat maneuvers. While using this style, you can use a tower shield to grant you total cover along one edge of your space (Pathfinder Roleplaying Game Core Rulebook 153) as a move action.",,,,,"Shield Focus, Tower Shield Proficiency",,,,Armor Masters Handbook

Mobile Fortress,combat,"Str 15, Mobile Bulwark Style, Shield Focus, Tower Shield Proficiency, base attack bonus +4.",You use your tower shield to defend yourself or an ally at a moment's notice.,"While using a tower shield, you add half of the shield's bonus to AC (including its enhancement bonus) to your touch AC and take only a -1 penalty on attack rolls because of the shield's encumbrance. While using Mobile Bulwark Style, whenever you would use a tower shield to gain total cover, you also grant any adjacent ally total cover against attacks passing through the selected edge of your space.",,,,,"Mobile Bulwark Style, Shield Focus, Tower Shield Proficiency",,,,Armor Masters Handbook

Mobile Stronghold,combat,"Str 17, Mobile Bulwark Style, Mobile Fortress, Shield Focus, Tower Shield Proficiency, base attack bonus +7.",You can use your tower shield to block magical attacks.,"While using a tower shield, you do not suffer a penalty on attack rolls because of the shield's encumbrance. While using Mobile Bulwark Style, whenever you use a tower shield to gain total cover, you also gain partial cover (and grant partial cover to adjacent allies) against spells passing through the selected edge of your space. Also, while using this style, you can gain total cover against a single attack made against you as an immediate or swift action.",,,,,"Mobile Bulwark Style, Mobile Fortress, Shield Focus, Tower Shield Proficiency",,,,Armor Masters Handbook

Shielded Gauntlet Attack,combat,"Shield Gauntlet Style, Weapon Focus (gauntlet or spiked gauntlet), proficiency with bucklers and light shields.",Your gauntlet helps you take advantage of weakness.,"While using Shield Gauntlet Style, you can calculate the damage of your gauntlet or spiked gauntlet using the sacred weapon damage value of a warpriest with a level 4 less than your base attack bonus. The style also allows you to take one attack of opportunity each round that does not count toward your maximum number of attacks of opportunity. This must be used to make an attack with your gauntlet (or spiked gauntlet), or a disarm or steal combat maneuver. You do not provoke an attack of opportunity for performing either combat maneuver, and you are able to attempt a steal combat maneuver with this attack of opportunity despite the maneuver normally requiring a standard action.",,,,,"Shield Gauntlet Style, Weapon Focus",,,,Armor Masters Handbook

Shielded Gauntlet Master,combat,"Shielded Gauntlet Attack, Shield Gauntlet Style, Weapon Focus (gauntlet or spiked gauntlet), proficiency with bucklers and light shields.",Your can effectively attack and defend with your gauntlet.,"While using Shield Gauntlet Style, you no longer lose your shield bonus to AC when you attack with your gauntlet (or spiked gauntlet) or use it to hold a weapon. In addition, you add your gauntlet's enhancement bonus to the shield bonus to AC granted by this feat as if it were a shield enhancement bonus.",,,,,"Shielded Gauntlet Attack, Shield Gauntlet Style, Weapon Focus",,,,Armor Masters Handbook

Shield Gauntlet Style,style/combat,"Weapon Focus (gauntlet or spiked gauntlet), proficiency with bucklers and light shields.",You use your gauntlet to shield you from harm.,"When using this style, if you begin your turn wearing a gauntlet or spiked gauntlet on your off hand, and you are not using that hand to hold or make attacks with any other weapons or shield, you gain a +1 shield bonus to AC. You lose this shield bonus whenever you attack with your gauntlet or hold a weapon or shield in that hand. While receiving this shield bonus to AC, your gauntlet or spiked gauntlet is treated as a buckler for the purpose of using other feats and abilities (though you are also considered to have a free hand). This feat acts as the Improved Unarmed Strike feat for the purpose of satisfying the prerequisites of the Deflect Arrows and Snatch Arrows feats.",,,,,Weapon Focus,,,,Armor Masters Handbook

Upsetting Shield Style,style/combat,"Dex 13, proficiency with bucklers.",You can strike at weapons to upset enemy attacks.,"You can shield bash with a buckler as if it were a light shield, and you can use the buckler in conjunction with any feats or abilities that normally  apply to light shields. While using this style, whenever you successfully deal damage to an opponent with a shield bash using your buckler, that opponent takes a -2 penalty on all attack rolls made against you until the start of your next turn.",,,,,,,,,Armor Masters Handbook

Upsetting Strike,combat,"Dex 15, Combat Reflexes, Improved Shield Bash, Upsetting Shield Style, proficiency with bucklers.",You can turn the tables on disoriented opponents.,"While you are using Upsetting Shield Style, if a foe is taking a penalty on attack rolls against you as a result of Upsetting Shield Style, and that foe makes a melee attack roll against you that misses your AC by 5 or more, that foe provokes an attack of opportunity from you. You can only make one attack of opportunity against an opponent in this manner each round.",,,,,"Combat Reflexes, Improved Shield Bash, Upsetting Shield Style",,,,Armor Masters Handbook

Upsetting Vengeance,combat,"Dex 13, Combat Reflexes, Improved Shield Bash, Upsetting Shield Style, Upsetting Strike, proficiency with bucklers.",You punish those who fail to press their attack.,"While using Upsetting Shield Style, the penalty on attack rolls foes take for being hit by your shield bash attack applies to their attacks against any target. If an adjacent foe taking this penalty makes an attack roll against any target and misses the target's AC by 5 or more, that foe provokes an attack of opportunity from you. You can only make one attack of opportunity against an opponent as a result of this feat or Upsetting Strike each round.",,,,,"Combat Reflexes, Improved Shield Bash, Upsetting Shield Style, Upsetting Strike",,,,Armor Masters Handbook

Vanguard Hustle,combat,"Dex 13, Bodyguard, Combat Patrol, Combat Reflexes, Mobility, Saving Shield, Vanguard Style, Vanguard Ward, proficiency with light or heavy shields.",You are able to protect allies from a distance.,"Add half of your shield's enhancement bonus to the shield bonus to AC that you grant to an ally using the Saving Shield feat. While using Vanguard Style, whenever you increase your threatened area with Combat Patrol, your ward retains the bonuses of Vanguard Style as long as he remains within your threatened area, and you can use Bodyguard, Saving Shield, and Vanguard Style whenever an ally that is within this threatened area is the target of an attack.",,,,,"Bodyguard, Combat Patrol, Combat Reflexes, Mobility, Saving Shield, Vanguard Style, Vanguard Ward",,,,Armor Masters Handbook

Vanguard Style,style/combat,"Bodyguard, Combat Reflexes, proficiency with light or heavy shields.",You can bring your shield to bear against dangers that threaten your allies.,"While using this style, when an adjacent ally is required to make a Reflex saving throw, you can expend a use of an attack of opportunity to attempt the aid another action to improve your ally's Reflex save. Your ally gains a +2 bonus to all Reflex saves while adjacent to you until the beginning of your next turn.",,,,,"Bodyguard, Combat Reflexes",,,,Armor Masters Handbook

Vanguard Ward,combat,"Bodyguard, Combat Reflexes, Vanguard Style, proficiency with light or heavy shields.",You strongly defend your allies.,"While using Vanguard Style, when an adjacent ally is attacked or required to make a Reflex saving throw, you can expend a use of an attack of opportunity to use both Bodyguard and Vanguard Style to protect that ally. You can also lose your shield bonus to AC to grant your ally a shield bonus to AC of the same value for as long as that ally gains a bonus to Reflex saves from Vanguard Style.",,,,,"Bodyguard, Combat Reflexes, Vanguard Style",,,,Armor Masters Handbook

Advanced Armor Training,combat,"Armor training class feature, fighter level 3rd.",You are specially trained to use your armor proficiencies in new ways.,Select one advanced armor training option.,,"This feat can be taken more than once, but at most once per 3 fighter levels.",,,,,,,Armor Masters Handbook

Armor Focus,combat,"Base attack bonus +1, proficiency with selected armor.",Your familiarity with a specific type of armor increases the amount of protection you receive from it.,"Select one type of armor, such as chain shirt or splint mail. The AC bonus granted by the selected armor increases by 1.",,"You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new type of armor. The Armor Focus feat counts as the armor training class feature for the purpose of armor mastery feat prerequisites and determines what types of armor you can use with armor mastery feats.",,,,,,,Armor Masters Handbook

Improved Armor Focus,combat,"Armor Focus, base attack bonus +6, proficiency with selected armor.",Your mastery makes the most of your armor.,The armor check penalty of the selected armor decreases by 1 (to a minimum of 0). You also use your character level in place of your base attack bonus for the purpose of armor mastery feat prerequisites.,,"You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new type of armor.",,,Armor Focus,,,,Armor Masters Handbook

Armor Material Expertise,armor_mastery/general,"Base attack bonus +6 or fighter level 4th, armor training class feature.",You tap into the potential of your armor's special material.,"When wearing armor made of one of the materials listed below, you can use the listed ability twice per day (unless otherwise stated).  Adamantine: As an immediate action after being struck by an attack, you convert half the lethal damage of the attack into nonlethal damage.  AngelskinUE: As a swift action, you shine with bright light as daylight for 1 round.  Darkleaf ClothUE: As a swift action, you gain the woodland stride druid class feature for 1 minute.  Dragonhide: As an immediate action when you take energy damage of the same type to which the dragonhide armor is immune, you reduce the damage taken by 10 hit points.  Elysian BronzeUE: As an immediate action after being struck by an attack from a magical beast or monstrous humanoid, you convert half the lethal damage of the attack into nonlethal damage.  Fire-Forged SteelUE or Frost-Forged SteelUE: As a swift action, any unarmed strikes, shield bashes, or attacks with a spiked gauntlet or armor spikes you make are treated as having the flaming special ability (for fire-forged steel) or the frost special ability (for frost-forged steel) for 1 minute.  Horacalcum (Pathfinder Adventure Path #61: Shards of Sin): Once per day as a swift action, you can grant yourself the benefits of haste for 1 round.  Living SteelUE: As an immediate action after being struck by an attack with a metal weapon, you can use the living steel's ability to damage metal weapons, as if the attacker had rolled a natural 1 on the attack.  Mithral: As an immediate action, you gain spell resistance against transmutation spells equal to 5 + the armor's enhancement bonus + your character level for 1 round.  Noqual (Pathfinder Adventure Path #61: Shards of Sin): The armor's resistance bonus on saves increases to +4 for 1 round.",,,,,,,,,Armor Masters Handbook

Armor Material Mastery,armor_mastery/general,"Armor Material Expertise, base attack bonus +11 or fighter level 8th, armor training class feature.",You bring the most out of your armor's special material.,You can use the ability granted by Armor Material Expertise two additional times per day.,,,,,Armor Material Expertise,,,,Armor Masters Handbook

